Date,Adj Close,Simple,CC,,,,,,,,,,
5/1/2000,8.08,0.12378,0.116700701,1.116700701,,,,,,,,,
6/1/2000,9.08,0.12376,0.11668232,1.11668232,,,,,,,,,
7/3/2000,8.91,-0.01872,-0.018899951,0.981100049,,,,,,,,,
8/1/2000,8.71,-0.02245,-0.022702451,0.977297549,,,,,,,,,
9/1/2000,9.52,0.09300,0.088923058,1.088923058,,,,,,,,,
10/2/2000,10.62,0.11555,0.109344167,1.109344167,,,,,,,,,
11/1/2000,10.83,0.01977,0.019581045,1.019581045,,,,,,,,,
12/1/2000,10.52,-0.02862,-0.029041854,0.970958146,,,,,,,,,
1/2/2001,11.87,0.12833,0.120736001,1.120736001,,,,,,,,,
2/1/2001,11.32,-0.04634,-0.047443136,0.952556864,,,,,,,,,
3/1/2001,10.09,-0.10866,-0.115026238,0.884973762,,,,,,,,,
4/2/2001,9.2,-0.08821,-0.09234135,0.90765865,,,,,,,,,
5/1/2001,9.28,0.00870,0.008658063,1.008658063,,,,,,,,,
6/1/2001,10.94,0.17888,0.16456425,1.16456425,,,,,,,,,
7/2/2001,8.58,-0.21572,-0.242991883,0.757008117,,,,,,,,,
8/1/2001,8.02,-0.06527,-0.067495492,0.932504508,,,,,,,,,
9/4/2001,7.1,-0.11471,-0.121843638,0.878156362,,,,,,,,,
10/1/2001,8.14,0.14648,0.136695396,1.136695396,,,,,,,,,
11/1/2001,8.42,0.03440,0.033819648,1.033819648,,,,,,,,,
12/3/2001,9.06,0.07601,0.073259292,1.073259292,,,,,,,,,
1/2/2002,11.3,0.24724,0.220933606,1.220933606,,,,,,,,,
2/4/2002,10.94,-0.03186,-0.032376929,0.967623071,,,,,,,,,
3/1/2002,11,0.00548,0.005469476,1.005469476,,,,,,,,,
4/1/2002,10.85,-0.01364,-0.013730193,0.986269807,,,,,,,,,
5/1/2002,11.54,0.06359,0.061654181,1.061654181,,,,,,,,,
6/3/2002,11.81,0.02340,0.023127369,1.023127369,,,,,,,,,
7/1/2002,9.33,-0.20999,-0.235711615,0.764288385,,,,,,,,,
8/1/2002,9.56,0.02465,0.024352712,1.024352712,,,,,,,,,
9/3/2002,9.82,0.02720,0.026833395,1.026833395,,,,,,,,,
10/1/2002,11.33,0.15377,0.143032953,1.143032953,,,,,,,,,
11/1/2002,10.34,-0.08738,-0.091434206,0.908565794,,,,,,,,,
12/2/2002,9.69,-0.06286,-0.064925443,0.935074557,,,,,,,,,
1/2/2003,10.8,0.11455,0.108451708,1.108451708,,,,,,,,,
2/3/2003,11.15,0.03241,0.031893364,1.031893364,,,,,,,,,
3/3/2003,12.25,0.09865,0.094086439,1.094086439,,,,,,,,,
4/1/2003,11.18,-0.08735,-0.091399469,0.908600531,,,,,,,,,
5/1/2003,11.73,0.04919,0.048023195,1.048023195,,,,,,,,,
6/2/2003,11.67,-0.00512,-0.005128216,0.994871784,,,,,,,,,
7/1/2003,12.99,0.11311,0.107158384,1.107158384,,,,,,,,,
8/1/2003,13.5,0.03926,0.038509855,1.038509855,,,,,,,,,
9/2/2003,13.69,0.01407,0.013975954,1.013975954,,,,,,,,,
10/1/2003,15.02,0.09715,0.092717007,1.092717007,,,,,,,,,
11/3/2003,15.3,0.01864,0.018470182,1.018470182,,,,,,,,,
12/1/2003,15.77,0.03072,0.030256573,1.030256573,,,,,,,,,
